UniProtAC;Localization;CNN;;;;;;;;;;;;;;;;;;;;Fully Connected;;;;;;;;;;;;;;;Final;;;;;;;;;
;;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Plasma1;Plasma2;Plasma3;Plasma4;Plasma5;Other1;Other2;Other3;Other4;Other5;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Other1;Other2;Other3;Other4;Other5;Binary1;Binary2;Binary3;Binary4;Binary5;Ternary1;Ternary2;Ternary3;Ternary4;Ternary5
A0A0G2JSQ3;Basolateral;-;-;-;-;-;train;validation;train;-;validation;-;-;train;-;-;-;-;validation;-;-;-;-;-;train;-;-;validation;-;-;train;-;train;train;validation;-;train;train;train;-;-;train;validation;train;train;-
A0A0G2JSR0;Other;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JSR2;Plasma;-;-;-;-;-;-;-;-;-;-;validation;train;train;validation;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0G2JSS9;Plasma;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JSW1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JSZ8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JT43;Apical;train;train;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;validation;train;-;-;-;train;train;-;-;validation;-;-;train;-;train;train;-;train;-;train;-
A0A0G2JT58;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JT97;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JTH4;Plasma;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;validation
A0A0G2JTI8;Apical;train;-;validation;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;train;-;-;-;train;-;-;-;-;-;-;validation;train;-;-;train;validation;validation;train;train;-
A0A0G2JTM9;Other;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JTT2;Plasma;-;-;-;-;train;-;-;-;-;-;validation;train;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-
A0A0G2JTX9;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
A0A0G2JU13;Plasma;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JU30;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JU49;Other;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JU83;Other;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JUA8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JUC7;Plasma;-;-;-;-;-;-;-;train;-;-;train;train;validation;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-
A0A0G2JV41;Other;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JVB6;Other;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-
A0A0G2JVE6;Apical;train;train;-;-;-;-;-;-;-;-;-;train;-;-;train;-;train;-;-;-;validation;validation;train;-;train;-;-;-;-;train;-;train;-;-;train;train;train;-;-;-;-;-;-;train;train
A0A0G2JVH4;Plasma;-;-;-;-;-;-;-;-;-;validation;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0G2JVY4;Other;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JWD0;Apical;train;validation;train;train;train;-;validation;-;-;-;train;-;train;-;train;-;-;-;-;validation;-;-;train;-;-;-;validation;validation;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;train;-
A0A0G2JWG6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
A0A0G2JWH5;Other;-;-;-;-;-;validation;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JWJ5;Basolateral;train;-;-;-;-;train;train;train;train;train;train;validation;-;-;-;train;-;train;-;-;-;-;train;train;-;-;train;train;train;-;-;train;validation;train;-;train;train;train;train;validation;validation;train;train;train;train
A0A0G2JWS6;Basolateral;-;train;-;-;-;-;train;validation;train;validation;validation;-;-;train;-;validation;train;-;-;train;-;train;-;-;-;train;train;train;train;train;train;-;-;train;-;-;-;-;validation;train;validation;validation;validation;train;-
A0A0G2JX61;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JXE5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JXG3;Plasma;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-
A0A0G2JXH2;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JXJ7;Plasma;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JXN8;Plasma;-;-;-;-;train;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-
A0A0G2JXU5;Apical;train;train;train;-;train;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;train;-;train;-;train;-;train;-;validation;train;-;-;-;train;-;validation;train;train;train;-;-;validation;train;-;-
A0A0G2JY19;Basolateral;train;train;-;-;-;-;train;train;train;-;-;train;-;validation;train;validation;-;-;-;train;-;-;train;-;train;-;validation;train;validation;-;validation;train;train;-;-;train;-;train;validation;train;validation;train;train;validation;-
A0A0G2JY62;Plasma;-;-;-;-;-;train;-;-;-;train;-;train;-;-;train;-;-;-;validation;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
A0A0G2JYB0;Plasma;-;-;-;-;-;validation;-;-;-;-;train;train;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JYB5;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
A0A0G2JYC5;Apical;validation;train;train;-;train;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;validation;validation;-;-;-;train;train;-;-;train;-;validation;-;train;validation;-;train;train;train;-
A0A0G2JYD6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
A0A0G2JZH4;Apical;train;train;train;train;train;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;validation;validation;validation;train;-;-;validation;-
A0A0G2JZJ5;Other;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K014;Plasma;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;train;-;-;train
A0A0G2K0Q8;Apical;train;-;train;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;validation;-;validation;-;-;-;-;-;train;-;validation;-;-;-;-;-;train;validation;-;validation;train;-;-
A0A0G2K0X4;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-
A0A0G2K171;Plasma;-;-;-;-;-;-;-;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train
A0A0G2K173;Other;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K1G8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;validation
A0A0G2K1M2;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K1M7;Basolateral;-;-;-;-;train;-;-;train;validation;train;validation;-;-;-;train;-;-;-;train;train;-;train;-;train;-;validation;train;train;-;-;-;-;train;train;-;-;-;-;-;train;train;validation;train;-;train
A0A0G2K1Z9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K234;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K238;Apical;train;-;train;train;train;train;-;-;validation;-;-;train;-;-;-;-;train;train;-;-;train;validation;train;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;validation;-;-;validation;train;train
A0A0G2K2B5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K2H4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K336;Basolateral;-;train;-;-;train;train;train;-;train;train;-;-;-;train;train;-;train;-;-;train;train;train;train;-;-;train;train;validation;train;validation;-;validation;-;-;train;train;train;-;-;-;train;validation;train;-;train
A0A0G2K3B1;Apical;train;-;train;train;train;-;-;-;-;-;train;-;-;-;-;-;-;train;-;train;train;-;train;-;train;-;-;-;train;-;train;-;-;-;-;-;validation;-;train;train;-;validation;-;-;train
A0A0G2K3K5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K3P9;Plasma;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K3Z5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
A0A0G2K447;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K4C0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K4N7;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;train;-;-;train;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K516;Plasma;-;-;-;-;train;train;-;-;-;train;-;-;-;train;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K528;Plasma;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K571;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-
A0A0G2K5A9;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0G2K5B0;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
A0A0G2K5C9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K5L2;Other;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
A0A0G2K605;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;validation;-;-;-
A0A0G2K618;Other;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K639;Apical;-;-;-;train;train;-;train;-;train;-;-;-;train;-;validation;-;-;-;-;-;-;-;validation;-;train;train;-;validation;-;-;-;-;-;-;-;validation;train;train;train;-;train;validation;train;train;-
A0A0G2K663;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K6C5;Other;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
A0A0G2K6G2;Plasma;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
A0A0G2K6H6;Apical;validation;-;train;-;-;-;-;-;-;train;-;validation;-;-;-;-;-;-;train;-;train;train;-;train;train;-;train;train;-;-;-;-;-;-;-;train;train;-;train;train;-;-;train;-;train
A0A0G2K6V0;Plasma;train;-;-;-;-;-;-;train;-;-;validation;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K776;Other;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
A0A0G2K7E1;Apical;train;train;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;validation;-;validation;validation;train;-;-;-;train;-;-;-;-;-;validation;train;train;train;train;-;validation;train;train;-;-
A0A0G2K7F3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
